abs_error,group
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.1999998000002,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.12499984375019532,500 Speakers
0.24999937500156252,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.33333277777870374,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.16666638888935187,500 Speakers
0.0,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.0999999000001,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.24999937500156252,500 Speakers
0.19999960000080003,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0999999000001,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.1999998000002,500 Speakers
0.0,500 Speakers
0.14285693877580175,500 Speakers
0.11111098765445816,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
0.19999960000080003,500 Speakers
0.24999937500156252,500 Speakers
0.24999937500156252,500 Speakers
0.3333322222259259,500 Speakers
0.0,500 Speakers
0.0,500 Speakers
